,name,count,probability,cumulative_probability
1931,RUSS,17136,0.00011542551157477882,0.1188824773558768
1929,CAVANAUGH,17137,0.00011543224742396036,0.11899790960330076
1928,KIMBLE,17138,0.00011543898327314189,0.1191133485865739
1927,HANKS,17141,0.0001154591908206865,0.11922880777739459
1926,MOHR,17153,0.00011554002101086492,0.11934434779840546
1925,KEENE,17161,0.0001155939078043172,0.11945994170620977
1924,ECKERT,17161,0.0001155939078043172,0.11957553561401409
1923,WHITTINGTON,17163,0.00011560737950268026,0.11969114299351677
1922,WILLIAM,17164,0.0001156141153518618,0.11980675710886864
1921,CALVERT,17169,0.00011564779459776947,0.11992240490346641
1920,MORELAND,17173,0.00011567473799449561,0.1200380796414609
1919,MCRAE,17203,0.00011587681346994165,0.12015395645493085
1918,SHULTZ,17204,0.00011588354931912319,0.12026984000424998
1917,MCCORD,17216,0.0001159643795093016,0.12038580438375927
1916,CUELLAR,17217,0.00011597111535848313,0.12050177549911775
1915,SCHUSTER,17221,0.00011599805875520927,0.12061777355787297
1914,CULVER,17231,0.00011606541724702463,0.12073383897512
1913,ALBRECHT,17256,0.00011623381347656299,0.12085007278859655
1912,BLUM,17262,0.0001162742285716522,0.1209663470171682
1911,VERNON,17267,0.00011630790781755988,0.12108265492498575
1910,PELLETIER,17267,0.00011630790781755988,0.1211989628328033
1909,VARNER,17274,0.00011635505876183061,0.12131531789156513
1908,ORNELAS,17278,0.00011638200215855675,0.1214316998937237
1907,FRIEND,17312,0.00011661102103072894,0.12154831091475443
1906,ZIMMER,17315,0.00011663122857827354,0.1216649421433327
1905,KEEN,17320,0.00011666490782418122,0.12178160705115688
1904,CORCORAN,17321,0.00011667164367336275,0.12189827869483025
1903,BAUMAN,17328,0.0001167187946176335,0.12201499748944789
1902,OCAMPO,17334,0.0001167592097127227,0.12213175669916061
1901,MUNSON,17345,0.00011683330405371958,0.12224859000321434
1900,BERMAN,17346,0.00011684003990290112,0.12236543004311724
1899,MARCUS,17360,0.0001169343417914426,0.12248236438490868
1898,DENNY,17366,0.00011697475688653181,0.12259933914179522
1897,CAGLE,17380,0.0001170690587750733,0.1227164082005703
1896,CANALES,17381,0.00011707579462425484,0.12283348399519455
1895,JUNG,17395,0.00011717009651279632,0.12295065409170734
1894,CRENSHAW,17402,0.00011721724745706706,0.12306787133916441
1893,ANAYA,17405,0.00011723745500461167,0.12318510879416902
1892,HOFF,17408,0.00011725766255215627,0.12330236645672119
1891,WAITE,17415,0.00011730481349642701,0.1234196712702176
1890,SORIANO,17418,0.00011732502104397161,0.12353699629126158
1889,TRIPLETT,17422,0.00011735196444069775,0.12365434825570228
1888,CRUM,17452,0.0001175540399161438,0.12377190229561842
1887,GRANADOS,17463,0.00011762813425714068,0.12388953042987556
1886,RICKS,17474,0.00011770222859813756,0.1240072326584737
